[31/01/2023 12:15:50] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 14:43:46] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 14:48:12] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 14:56:35] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 14:57:34] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 14:59:17] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 15:01:09] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 15:06:33] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 15:22:10] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:02:13] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:25:45] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:30:41] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:34:57] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:42:21] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:48:34] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:50:16] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 17:57:37] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 18:00:42] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 18:10:23] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 18:20:12] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 18:25:25] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 18:25:45] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 18:35:49] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 19:40:18] [INFO] received Windows console close event; shutting log-core down
[31/01/2023 19:41:29] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 18:04:26] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 18:05:38] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:27:26] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:37:29] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:38:58] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:40:01] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:41:54] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:42:50] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:46:34] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 21:54:05] [INFO] received Windows console close event; shutting log-core down
[02/02/2023 22:30:20] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 12:34:13] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 19:48:04] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 19:58:30] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 20:42:16] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 21:51:58] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 21:59:20] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 22:04:56] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 22:05:26] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 22:14:23] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 22:17:26] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 22:20:35] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 22:24:24] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 22:53:36] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 23:04:00] [INFO] received Windows console close event; shutting log-core down
[03/02/2023 23:12:33] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 09:46:10] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 09:46:23] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 09:48:51] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 09:59:39] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 10:04:28] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 10:07:17] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 10:53:27] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 10:56:18] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 11:07:24] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 11:13:47] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 11:17:34] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 11:28:24] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 11:29:57] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 11:33:10] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:09:10] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:13:53] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:16:44] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:24:07] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:31:14] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:36:37] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:38:24] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:40:20] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:42:35] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:47:23] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:53:15] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 12:56:47] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 13:02:45] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 13:06:13] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 13:32:20] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 13:44:36] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 13:48:05] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 13:54:16] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 14:00:55] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 14:03:09] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 14:10:01] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 14:15:59] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 14:27:24] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 14:33:30] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 14:38:19] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 15:08:31] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 18:55:44] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 19:02:04] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 19:02:10] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 19:16:47] [INFO] received Windows console close event; shutting log-core down
[04/02/2023 19:28:24] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:40:24] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:44:19] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:45:52] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:50:06] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:50:51] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:51:35] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:55:15] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 21:56:23] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 22:00:46] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 22:11:21] [INFO] received Windows console close event; shutting log-core down
[05/02/2023 22:12:19] [INFO] received Windows console close event; shutting log-core down
[06/02/2023 18:46:20] [INFO] received Windows console close event; shutting log-core down
[06/02/2023 19:21:17] [INFO] received Windows console close event; shutting log-core down
[06/02/2023 19:41:08] [INFO] received Windows console close event; shutting log-core down
[06/02/2023 19:43:02] [INFO] received Windows console close event; shutting log-core down
[06/02/2023 21:27:15] [INFO] received Windows console close event; shutting log-core down
[06/02/2023 21:31:58] [INFO] received Windows console close event; shutting log-core down
[07/02/2023 13:10:19] [INFO] received Windows console close event; shutting log-core down
[08/02/2023 20:16:30] [INFO] received Windows console close event; shutting log-core down
[08/02/2023 22:42:19] [INFO] received Windows console close event; shutting log-core down
[08/02/2023 22:46:30] [INFO] received Windows console close event; shutting log-core down
[08/02/2023 23:30:13] [INFO] received Windows console close event; shutting log-core down
[09/02/2023 20:05:42] [INFO] received Windows console close event; shutting log-core down
[16/02/2023 15:10:59] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[16/02/2023 15:53:52] [INFO] received Windows console close event; shutting log-core down
[17/02/2023 18:37:05] [INFO] received Windows console close event; shutting log-core down
[17/02/2023 19:11:55] [INFO] received Windows console close event; shutting log-core down
[17/02/2023 21:23:28] [INFO] received Windows console close event; shutting log-core down
[24/03/2023 11:19:12] [INFO] received Windows console close event; shutting log-core down
[14/04/2023 12:45:06] [INFO] received Windows console close event; shutting log-core down
[24/04/2023 18:18:14] [INFO] received Windows console close event; shutting log-core down
[25/04/2023 18:23:16] [INFO] received Windows console close event; shutting log-core down
[02/08/2023 20:07:49] [INFO] received Windows console close event; shutting log-core down
[20/09/2023 11:35:02] [INFO] received Windows console close event; shutting log-core down
[20/09/2023 11:37:49] [INFO] received Windows console close event; shutting log-core down
[20/09/2023 11:42:58] [INFO] received Windows console close event; shutting log-core down
[20/09/2023 11:47:30] [INFO] received Windows console close event; shutting log-core down
[20/09/2023 11:48:15] [INFO] received Windows console close event; shutting log-core down
[22/09/2023 18:09:43] [INFO] received Windows console close event; shutting log-core down
[22/09/2023 21:30:32] [INFO] received Windows console close event; shutting log-core down
[22/09/2023 21:38:01] [INFO] received Windows console close event; shutting log-core down
[22/09/2023 21:38:34] [INFO] received Windows console close event; shutting log-core down
[22/09/2023 22:31:40] [INFO] received Windows console close event; shutting log-core down
[23/09/2023 20:40:15] [INFO] received Windows console close event; shutting log-core down
[23/09/2023 20:43:09] [INFO] received Windows console close event; shutting log-core down
[23/09/2023 20:57:28] [INFO] received Windows console close event; shutting log-core down
[23/09/2023 21:13:08] [INFO] received Windows console close event; shutting log-core down
[24/09/2023 18:47:08] [INFO] received Windows console close event; shutting log-core down
[24/09/2023 18:48:03] [INFO] received Windows console close event; shutting log-core down
[24/09/2023 19:02:52] [INFO] received Windows console close event; shutting log-core down
[26/09/2023 16:00:15] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:23:18] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:28:10] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:35:54] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:38:00] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:41:43] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:45:31] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:49:03] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 18:58:11] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:03:56] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:12:00] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:14:03] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:16:36] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:18:55] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:21:54] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:23:02] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:25:30] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:30:31] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:33:03] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:36:33] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:40:21] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:45:02] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:47:03] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:48:45] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:55:54] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 19:57:25] [INFO] received Windows console close event; shutting log-core down
[28/09/2023 20:35:04] [INFO] received Windows console close event; shutting log-core down
[29/09/2023 14:38:39] [INFO] received Windows console close event; shutting log-core down
[29/09/2023 14:56:44] [INFO] received Windows console close event; shutting log-core down
[01/10/2023 20:45:23] [INFO] received Windows console close event; shutting log-core down
[01/10/2023 20:46:32] [INFO] received Windows console close event; shutting log-core down
[01/10/2023 20:48:25] [INFO] received Windows console close event; shutting log-core down
[02/10/2023 15:20:08] [INFO] received Windows console close event; shutting log-core down
[02/10/2023 15:26:45] [INFO] received Windows console close event; shutting log-core down
